countryterritoryCode;countriesAndTerritories;CasosCovid;MuertesCovid;Poblacion_2019;TasaMortalidadCovid;GastoSalud_PIB;Doctores;MortalidadAdultos_Precovid
TZA;United_Republic_of_Tanzania;509;21;58005461;0,0;4,3;0,5;301,1
UGA;Uganda;27532;221;44269587;0,5;7,5;1,2;321,9
UKR;Ukraine;900666;15247;43993643;34,7;7,3;33,9;204,2
URY;Uruguay;9708;92;3461731;2,7;9,0;44,5;116,2
USA;United_States_of_America;16256754;299177;329064917;90,9;16,6;26,0;107,3
UZB;Uzbekistan;75094;612;32981715;1,9;5,2;24,5;140,1
VCT;Saint_Vincent_and_the_Grenadines;98;0;110593;0,0;4,4;8,0;167,7
VEN;Venezuela;107177;949;28515829;3,3;5,8;17,3;158,6
VNM;Vietnam;1397;35;96462108;0,0;5,9;7,9;128,4
VUT;Vanuatu;1;0;299882;0,0;3,5;1,7;137,2
YEM;Yemen;2083;606;29161922;2,1;5,0;5,3;230,7
ZAF;South_Africa;860964;23276;58558267;39,7;7,9;7,6;348,2
ZMB;Zambia;18274;367;17861034;2,1;4,2;0,8;318,1
ZWE;Zimbabwe;11246;307;14645473;2,1;7,4;1,4;397,7
